tissue	trait	p1_trait_prior	p2_tissue_prior	p12	pm1	pm2	enloc_enrich_intercept_effect(inteffect)	inteffect_95ci_lower	inteffect_95ci_upper	enloc_enrich_log_odds_ratio_effect(logor)	logor_95ci_lower	logor_95ci_upper
Adipose_Subcutaneous	Waist_Circumference_EUR	2.54866E-05	3.32219E-03	2.86733E-06	2.83540E-05	3.32506E-03	-10.574	-10.623	-10.525	3.519	1.590	5.448
Adipose_Subcutaneous	White_Blood_Cell_Count	6.25594E-05	3.30525E-03	1.98116E-05	8.23710E-05	3.32506E-03	-9.676	-9.716	-9.635	4.559	3.822	5.295
Adipose_Visceral_Omentum	Adiponectin	7.32061E-06	2.80617E-03	2.87700E-08	7.34938E-06	2.80620E-03	-11.822	-11.849	-11.795	0.334	-2.501	3.168
Adipose_Visceral_Omentum	Alzheimers_Disease	1.16778E-05	2.80490E-03	1.30359E-06	1.29814E-05	2.80620E-03	-11.355	-11.570	-11.141	3.681	-0.230	7.593
Adipose_Visceral_Omentum	Ankylosing_Spondylitis_UKBS	2.19700E-05	2.80615E-03	5.20562E-08	2.20221E-05	2.80620E-03	-10.723	-10.747	-10.699	-0.172	-1.777	1.432
Adipose_Visceral_Omentum	Asthma	1.27265E-05	2.80616E-03	3.69043E-08	1.27634E-05	2.80620E-03	-11.269	-11.294	-11.244	0.030	-2.077	2.137
Adipose_Visceral_Omentum	Asthma_TAGC_EUR	1.65549E-05	2.80610E-03	1.03576E-07	1.66585E-05	2.80620E-03	-11.006	-11.101	-10.912	0.799	-3.006	4.604
Adipose_Visceral_Omentum	Asthma_UKB	3.43866E-05	2.79607E-03	1.01347E-05	4.45213E-05	2.80620E-03	-10.275	-10.323	-10.228	4.655	3.464	5.846
Adipose_Visceral_Omentum	Asthma_UKBS	3.44554E-05	2.79527E-03	1.09319E-05	4.53873E-05	2.80620E-03	-10.273	-10.314	-10.231	4.729	3.601	5.856
Adipose_Visceral_Omentum	Attention_Deficit_Hyperactivity_Disorder	3.56827E-05	2.80606E-03	1.41499E-07	3.58242E-05	2.80620E-03	-10.238	-10.261	-10.215	0.343	-2.726	3.412
Adipose_Visceral_Omentum	Autism_Spectrum_Disorder	8.58730E-07	2.80620E-03	2.41655E-09	8.61147E-07	2.80620E-03	-13.965	-13.997	-13.933	-0.000	-0.706	0.705
Adipose_Visceral_Omentum	BMI_Active_Inds	1.97604E-05	2.80354E-03	2.65552E-06	2.24159E-05	2.80620E-03	-10.829	-10.887	-10.772	3.867	1.744	5.989
Adipose_Visceral_Omentum	BMI_Childhood	1.29188E-05	2.80616E-03	4.02990E-08	1.29591E-05	2.80620E-03	-11.254	-11.279	-11.229	0.103	-2.120	2.326
Adipose_Visceral_Omentum	BMI_EUR	3.88482E-05	2.80246E-03	3.74436E-06	4.25926E-05	2.80620E-03	-10.153	-10.200	-10.105	3.535	1.554	5.515
Adipose_Visceral_Omentum	BMI_UKB	9.55457E-05	2.79193E-03	1.42747E-05	1.09820E-04	2.80620E-03	-9.253	-9.280	-9.227	3.977	3.158	4.795
Adipose_Visceral_Omentum	Balding_Pattern_2_UKB	2.37998E-05	2.80612E-03	8.18847E-08	2.38817E-05	2.80620E-03	-10.643	-10.668	-10.619	0.201	-2.305	2.706
Adipose_Visceral_Omentum	Balding_Pattern_3_UKB	2.16429E-05	2.80613E-03	6.90836E-08	2.17120E-05	2.80620E-03	-10.738	-10.762	-10.714	0.126	-1.970	2.222
Adipose_Visceral_Omentum	Balding_Pattern_4_UKB	4.90898E-05	2.80157E-03	4.62713E-06	5.37169E-05	2.80620E-03	-9.919	-9.955	-9.884	3.513	1.964	5.062
Adipose_Visceral_Omentum	Birth_Length	1.04571E-06	2.80620E-03	3.01723E-09	1.04873E-06	2.80620E-03	-13.768	-13.800	-13.737	0.025	-2.272	2.322
Adipose_Visceral_Omentum	Birth_Weight	2.45491E-05	2.79204E-03	1.41615E-05	3.87106E-05	2.80620E-03	-10.612	-10.661	-10.563	5.328	4.238	6.418
Adipose_Visceral_Omentum	Birth_Weight_UKB	3.97123E-05	2.78863E-03	1.75720E-05	5.72843E-05	2.80620E-03	-10.131	-10.178	-10.084	5.064	4.114	6.015
Adipose_Visceral_Omentum	Body_Fat_Percentage_UKB	9.01622E-05	2.78973E-03	1.64726E-05	1.06635E-04	2.80620E-03	-9.311	-9.336	-9.285	4.179	3.387	4.971
Adipose_Visceral_Omentum	Bone_Mineral_Density	7.04764E-06	2.80618E-03	1.99521E-08	7.06760E-06	2.80620E-03	-11.860	-11.886	-11.834	0.006	-1.824	1.836
Adipose_Visceral_Omentum	Breast_Cancer	2.79013E-05	2.80357E-03	2.62649E-06	3.05278E-05	2.80620E-03	-10.484	-10.565	-10.403	3.511	0.534	6.488
Adipose_Visceral_Omentum	CH2DB_NMR	4.67718E-06	2.80619E-03	1.44304E-08	4.69161E-06	2.80620E-03	-12.270	-12.298	-12.242	0.092	-1.894	2.079
Adipose_Visceral_Omentum	Celiac_Disease	5.64457E-06	2.80618E-03	1.85846E-08	5.66316E-06	2.80620E-03	-12.082	-12.113	-12.050	0.157	-2.119	2.433
Adipose_Visceral_Omentum	Chronic_Kidney_Disease	4.33489E-06	2.80619E-03	1.27221E-08	4.34761E-06	2.80620E-03	-12.346	-12.374	-12.318	0.042	-2.324	2.407
Adipose_Visceral_Omentum	Chronotype	2.21465E-05	2.80612E-03	8.32054E-08	2.22297E-05	2.80620E-03	-10.715	-10.740	-10.691	0.289	-2.681	3.259
Adipose_Visceral_Omentum	Chronotype_UKB	5.93019E-05	2.79528E-03	1.09210E-05	7.02229E-05	2.80620E-03	-9.730	-9.766	-9.694	4.185	2.946	5.423
Adipose_Visceral_Omentum	Coronary_Artery_Disease	2.31890E-05	2.79725E-03	8.94767E-06	3.21366E-05	2.80620E-03	-10.669	-10.724	-10.614	4.924	3.530	6.318
Adipose_Visceral_Omentum	Crohns_Disease	2.32819E-05	2.79903E-03	7.17088E-06	3.04528E-05	2.80620E-03	-10.665	-10.737	-10.593	4.698	3.173	6.222
Adipose_Visceral_Omentum	Crohns_Disease_UKBS	2.22130E-05	2.80615E-03	5.44522E-08	2.22675E-05	2.80620E-03	-10.712	-10.736	-10.688	-0.138	-1.754	1.479
Adipose_Visceral_Omentum	Deep_Venous_Thrombosis_UKB	9.87188E-06	2.80617E-03	3.06101E-08	9.90249E-06	2.80620E-03	-11.523	-11.549	-11.497	0.097	-1.915	2.109
Adipose_Visceral_Omentum	Deep_Venous_Thrombosis_UKBS	9.69578E-06	2.80617E-03	2.89142E-08	9.72469E-06	2.80620E-03	-11.541	-11.567	-11.515	0.058	-2.052	2.169
Adipose_Visceral_Omentum	Depressive_Symptoms	9.64742E-06	2.80617E-03	2.83984E-08	9.67582E-06	2.80620E-03	-11.546	-11.572	-11.520	0.045	-2.267	2.357
